id,name,tier,engine,emulated,dataset,level,status,input_bytes,archive_bytes,ratio_pct,compress_s_median,decompress_s_median,compress_rss_bytes,verify
dmg-ulmo,"DMG (ULMO, lzma-compressed image)",A,native,False,images,default,ok,17011359,13299536,78.18,6.056,0.608,6619136,6 files verified against manifest
freeze,freeze (1993),B,native,False,images,default,ok,17011359,14428225,84.815,1.309,0.97,1949696,decompressed tar SHA-256 matches canonical tar
ha,"HA (1993, PPM-family)",B,native,False,images,default,ok,17011359,14313860,84.143,1.265,1.198,1949696,decompressed tar SHA-256 matches canonical tar
iso,"ISO 9660 (mkisofs, store-only)",A,native,False,images,default,ok,17011359,17387520,102.211,0.021,0.02,6488064,6 files verified against manifest
lha,"LHA/LZH (1988, lh5)",B,native,False,images,default,ok,17011359,14274753,83.913,0.69,0.379,2228224,6 files verified against manifest
lha,"LHA/LZH (1988, lh5)",B,native,False,images,max,ok,17011359,14016202,82.393,1.091,0.366,2457600,6 files verified against manifest
pax,pax (appendix: POSIX archiver),A,native,False,images,default,ok,17011359,17018880,100.044,0.038,0.039,1622016,6 files verified against manifest
pkzip,"ZIP (PKZIP 2.04g, 1993)",D,dosbox,True,images,default,ok,17011359,14078928,82.762,31.042,0.138,153501696,decompressed tar SHA-256 matches canonical tar
pkzip,"ZIP (PKZIP 2.04g, 1993)",D,dosbox,True,images,max,ok,17011359,14038266,82.523,32.757,0.131,152272896,decompressed tar SHA-256 matches canonical tar
rar4,RAR 4 (legacy format),A,native,False,images,default,ok,17011359,11975057,70.394,0.312,0.206,120143872,6 files verified against manifest
rar4,RAR 4 (legacy format),A,native,False,images,max,ok,17011359,11974885,70.393,0.313,0.203,120111104,6 files verified against manifest
rar5,RAR 5 (WinRAR/rar),A,native,False,images,default,ok,17011359,12655395,74.394,0.323,0.101,158056448,6 files verified against manifest
rar5,RAR 5 (WinRAR/rar),A,native,False,images,max,ok,17011359,12631849,74.255,0.408,0.086,158105600,6 files verified against manifest
sevenzip,"7z (7-Zip, LZMA2)",A,native,False,images,default,ok,17011359,12900840,75.837,1.117,0.283,229670912,6 files verified against manifest
